r_scale,shell_frac,width_frac,pos_w,neg_w,mu,rE,B,mass,E2_ratio,virial
0.6,0.5,0.3,0.6,0.1,0.201826029052591,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.3,0.6,0.25,0.201826029052591,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.3,0.6,0.4,0.201826029052591,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.3,0.75,0.1,0.25228253631573877,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.3,0.75,0.25,0.25228253631573877,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.3,0.75,0.4,0.25228253631573877,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.3,0.9,0.1,0.30273904357888654,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.3,0.9,0.25,0.30273904357888654,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.3,0.9,0.4,0.30273904357888654,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.6,0.1,0.32153795496517795,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.6,0.25,0.32153795496517795,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.6,0.4,0.32153795496517795,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.75,0.1,0.40192244370647245,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.75,0.25,0.40192244370647245,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.75,0.4,0.40192244370647245,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.9,0.1,0.482306932447767,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.9,0.25,0.482306932447767,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.9,0.4,0.482306932447767,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.8,0.6,0.1,0.39534515815218924,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
